,Month,Year,Type,Area,Sex,Fatal (Y/N)
576,March,2019,Unprovoked,Hawaii,M,N
577,May,2018,Provoked,Florida,M,N
578,September,2017,Unprovoked,Florida,M,N
579,July,2017,Unprovoked,California,M,N
580,June,2017,Unprovoked,Florida,M,N
581,April,2017,Unprovoked,South Carolina,F,N
582,April,2017,Unprovoked,Hawaii,M,N
583,October,2016,Unprovoked,Florida,M,N
584,April,2016,Unprovoked,Florida,M,N
585,November,2015,Unprovoked,Florida,F,N
586,May,2015,Unprovoked,Florida,F,N
587,April,2015,Unprovoked,Florida,M,N
588,August,2014,Unprovoked,Florida,F,N
589,August,2014,Unprovoked,Florida,M,N
590,June,2014,Unprovoked,Texas,F,N
591,February,2013,Unprovoked,Florida,M,N
592,December,2012,Unprovoked,Florida,M,N
593,September,2012,Unprovoked,Florida,M,N
594,June,2012,Unprovoked,South Carolina,M,N
595,March,2012,Unprovoked,Florida,M,N
596,July,2011,Unprovoked,Texas,M,N
597,July,2009,Unprovoked,Florida,F,N
598,June,2006,Provoked,Florida,M,N
599,May,2006,Unprovoked,Hawaii,M,N
600,October,2005,Provoked,Florida,M,N
601,August,2004,Unprovoked,Florida,F,N
602,March,2004,Unprovoked,Hawaii,F,N
603,September,2003,Unprovoked,Florida,M,N
604,August,2002,Unprovoked,Florida,M,N
605,March,2002,Unprovoked,Florida,M,N
606,August,2001,Unprovoked,Florida,M,N
607,October,2000,Unprovoked,Florida,M,N
608,August,2000,Provoked,Alaska,M,N
609,July,2000,Unprovoked,Texas,M,N
610,March,2000,Unprovoked,Louisiana,M,N
611,November,1998,Unprovoked,Florida,M,N
612,November,1996,Unprovoked,Florida,M,N
613,July,1996,Unprovoked,Florida,M,N
614,January,1996,Unprovoked,Hawaii,M,N
615,August,1995,Unprovoked,North Carolina,M,N
616,June,1993,Unprovoked,Hawaii,M,N
617,August,1992,Provoked,Florida,M,N
618,December,1989,Provoked,Hawaii,M,N
619,April,1989,Unprovoked,Hawaii,M,N
620,January,1989,Unprovoked,Hawaii,M,Y
