Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
20210817, TD, 34.0N,  84.7W,25.0,1008.0,70.0
20210818, LO, 35.9N,  83.6W,25.0,1009.0,70.0
20210818, LO, 37.7N,  82.3W,20.0,1010.0,80.0
20210818, LO, 39.2N,  81.1W,20.0,1011.0,90.0
20210818, LO, 40.4N,  79.7W,20.0,1013.0,100.0
20210819, EX, 41.2N,  78.2W,20.0,1012.0,100.0
20210819, EX, 41.9N,  76.7W,20.0,1011.0,100.0
20210819, EX, 42.4N,  75.1W,20.0,1011.0,100.0
20210819, EX, 42.7N,  73.5W,25.0,1010.0,100.0
20210820, EX, 42.7N,  72.2W,25.0,1009.0,100.0
20210820, EX, 42.6N,  71.0W,25.0,1008.0,100.0
20210813, TD, 15.0N,  46.7W,30.0,1010.0,20.0
20210813, TD, 15.2N,  48.7W,30.0,1010.0,20.0
20210813, TD, 15.3N,  50.8W,30.0,1010.0,20.0
20210814, TD, 15.4N,  52.8W,30.0,1010.0,20.0
20210814, TD, 15.7N,  54.8W,30.0,1010.0,20.0
20210814, TS, 16.1N,  57.2W,35.0,1009.0,30.0
20210814, TS, 16.2N,  59.5W,35.0,1009.0,30.0
20210815, TD, 16.5N,  61.7W,30.0,1010.0,40.0
20210815, TD, 16.7N,  63.7W,30.0,1010.0,40.0
20210815, TD, 16.9N,  65.4W,30.0,1010.0,40.0
20210815, TD, 17.0N,  66.7W,30.0,1011.0,40.0
20210816, TD, 17.1N,  68.1W,30.0,1011.0,30.0
20210816, TD, 17.2N,  69.6W,30.0,1010.0,30.0
20210816, TS, 17.5N,  70.8W,35.0,1007.0,20.0
20210816, TS, 17.7N,  71.4W,35.0,1007.0,20.0
20210816, TS, 17.8N,  71.7W,35.0,1007.0,20.0
20210817, TS, 17.9N,  73.2W,35.0,1006.0,20.0
20210817, TS, 18.0N,  74.8W,40.0,1006.0,25.0
20210817, TS, 18.2N,  76.1W,45.0,1005.0,25.0
20210817, TS, 18.2N,  76.6W,50.0,1004.0,30.0
20210817, TS, 18.3N,  77.4W,50.0,1003.0,30.0
20210818, TS, 18.3N,  78.6W,50.0,1000.0,30.0
20210818, TS, 18.7N,  80.1W,55.0,998.0,30.0
20210818, HU, 19.2N,  81.5W,65.0,993.0,20.0
20210818, HU, 19.6N,  83.0W,70.0,990.0,20.0
20210819, HU, 19.7N,  84.8W,70.0,988.0,20.0
20210819, HU, 19.9N,  86.4W,70.0,985.0,20.0
20210819, HU, 20.1N,  87.5W,75.0,978.0,20.0
20210819, TS, 20.2N,  88.1W,60.0,994.0,25.0
20210819, TS, 20.5N,  89.5W,45.0,998.0,25.0
20210820, TS, 20.8N,  91.1W,55.0,994.0,20.0
20210820, TS, 20.7N,  92.6W,60.0,991.0,20.0
20210820, HU, 20.6N,  93.8W,75.0,982.0,20.0
20210820, HU, 20.6N,  94.7W,85.0,975.0,20.0
20210821, HU, 20.7N,  95.8W,105.0,967.0,15.0
20210821, HU, 20.6N,  97.1W,105.0,967.0,15.0
20210821, HU, 20.6N,  97.2W,100.0,969.0,15.0
20210821, TS, 20.2N,  98.0W,60.0,988.0,20.0
20210815, LO, 35.8N,  63.4W,25.0,1014.0,30.0
20210815, LO, 35.4N,  63.1W,25.0,1012.0,20.0
